date,gasStation,costPerGallon,totalPurchased,mileage,manualMPG,tripA,totalGas
8/13/1998,Merit,0.8890,10.50,240,,,11.900
8/29/1998,Texaco,0.9990,11.00,540,27.3,,11.010
9/9/1998,Texaco,0.9990,10.50,825,27.1,,10.500
9/19/1998,Texaco,0.9890,11.00,1115,26.1,,11.100
9/26/1998,Texaco,0.9890,11.00,1400,25.7,,11.100
10/9/1998,Texaco,0.9990,11.25,1700,26.1,,11.500
10/21/1998,Atlatic,0.9690,10.25,1975,25.9,,10.600
10/24/1998,Texaco,0.9990,3.50,2045,20.0,,3.500
10/26/1998,Texaco,0.9990,9.20,2365,34.8,,9.200
11/6/1998,Texaco,0.9690,9.20,2622,27.1,,9.500
11/8/1998,Sunoco,0.9890,10.00,2962,33.3,,10.200
11/20/1998,Sunoco,0.9690,11.00,3275,27.7,,11.350
12/4/1998,Sunoco,0.9390,10.41,3550,25.0,,11.000
12/15/1998,Sunoco,0.9290,9.20,3810,26.2,,9.900
12/26/1998,Texaco,0.9390,10.50,4077,23.8,,11.200
1/6/1999,Sunoco,0.9290,8.00,4302,26.1,,8.600
1/18//1998,Sunoco,0.9290,9.25,4528,22.6,,10.000
1/30/1999,Texaco,0.8790,9.65,4778,23.4,,10.700
2/12/1999,Sunoco,0.8690,8.75,5050,26.9,,10.100
2/24/1999,Sunoco,0.8690,9.25,5310,24.5,,10.600
3/1/1999,Sunoco,0.8690,8.00,5595,31.0,,9.200
3/10/1999,Texaco,0.8690,9.60,5881,26.0,,11.000
3/20/1999,Sunoco,0.9390,8.10,6130,29.0,,8.600
4/9/1999,Texaco,1.0190,11.25,6405,25.0,,11.000
4/22/1999,Texaco,1.0400,10.50,6675,27.0,,11.200
5/1/1999,Texaco,1.0690,12.00,6977,27.0,,11.200
5/13/1999,Texaco,1.0890,11.25,7267,28.1,,10.300
5/23/1999,Exon,1.0390,9.40,7540,30.3,,9.000
5/30/1999,Texaco,1.0790,11.25,7827,27.6,,10.400
6/18/1999,Shell,1.0090,8.75,,,,8.400
7/5/1999,Texaco,1.0790,12.10,8350,26.7,,11.200
7/11/1999,Amoco,1.0190,7.80,8550,26.3,,7.600
7/23/1999,Texaco,1.1190,12.80,8823,23.9,,11.435
7/30/1999,Texaco,1.1290,12.65,9192,32.9,,12.203
8/12/1999,Texaco,1.1190,8.00,9450,36.3,,7.140
8/21/1999,Texaco,,13.50,9670,19.6,,11.300
9/3/1999,Sunoco,1.1990,12.50,9940,26.0,,10.400
9/15/1999,Texaco,1.2180,13.25,10202,24.0,,10.900
9/25/1999,Texaco,1.2390,13.00,10465,25.0,,10.500
10/5/1999,Amoco,1.2990,13.60,10735,25.7,,10.500
10/13/1999,Sunoco,1.2690,10.61,10960,26.8,,8.400
10/18/1999,Texaco,1.2560,14.05,11288,29.3,,11.200
10/30/1999,Texaco,1.2590,13.55,11576,26.7,,10.800
11/5/1999,Texaco,1.2190,13.50,11923,31.5,,11.000
11/18/1999,Texaco,1.2590,14.50,12233,27.0,,10.300
12/3/1999,Sunoco,1.2590,13.00,12525,28.3,,10.300
12/14/1999,Sunoco,1.2990,14.00,12775,23.1,,10.800
12/30/1999,Texaco,1.2790,15.00,13065,24.8,,11.700
1/14/2000,Sunoco,1.3390,14.01,13350,27.1,,10.500
1/22/2000,Texaco,1.2890,9.00,13483,19.2,,6.900
1/31/2000,Texaco,1.2990,13.15,13756,27.0,,10.120
2/10/2000,Texaco,1.3290,12.50,13975,23.0,,9.500
2/23/2000,Texaco,1.3490,14.30,14250,25.9,,10.600
3/8/2000,Texaco,1.4890,16.50,14525,24.8,,11.100
3/24/2000,Texaco,1.5190,13.65,14755,25.6,,9.000
4/3/2000,Texaco,1.4990,15.75,15045,27.6,,10.500
4/13/2000,Texaco,1.4790,11.10,15235,25.3,,7.500
4/26/2000,Texaco,1.4590,15.15,15495,25.0,,10.400
5/9/2000,Sunoco,1.4990,15.15,15770,27.2,,10.100
5/19/2000,Texaco,1.4690,15.90,16020,23.2,,10.800
5/29/2000,Exon,1.4190,12.00,16257,28.2,,8.400
6/10/2000,,,15.70,16530,27.0,,10.100
6/23/2000,Texaco,,17.10,16807,25.7,,10.761
7/15/2000,Texaco,1.5990,17.65,17095,26.2,,11.000
7/29/2000,Texaco,1.5790,17.20,17333,26.4,,9.000
8/11/2000,Texaco,1.5590,17.00,17580,22.7,,10.900
8/23/2000,Texaco,1.5590,17.00,17866,26.2,,10.900
9/5/2000,,,14.50,18100,,,9.400
9/16/2000,,,12.00,18300,,,7.800
9/28/2000,,,18.00,18617,,,11.600
10/8/2000,Exon,1.4590,,18825,,,
10/19/2000,Texaco,1.5590,15.00,19125,,,9.747
10/29/2000,Texaco,1.5190,15.15,19,,,10.000
11/8/2000,Texaco,1.5090,17.00,19660,,,11.300
11/17/2000,Texaco,1.4590,16.25,19935,,,11.140
12/7/2000,Texaco,1.4990,16.00,20195,,,10.700
12/17/2000,Getty,1.4790,14.50,20457,,,9.000
12/29/2000,Texaco,1.4490,14.90,20703,,,10.300
1/11/2001,Texaco,1.4390,15.00,20970,,,10.400
1/25/2001,Texaco,1.4290,15.75,21231,,,11.000
2/3/2001,Exxon,1.3490,11.57,21459,,,8.600
2/15/2001,Texaco,1.3990,14.75,21720,,,10.500
3/5/2001,Texaco,1.3990,12.60,21935,,,9.000
3/17/2001,Amoco,1.3790,13.40,22155,,,9.700
3/28/2001,Amoco,1.3990,15.00,22445,,,10.700
4/11/2001,Texaco,1.3990,14.15,22705,,,10.100
4/15/2001,Texaco,1.5390,16.25,22966,,,10.600
5/8/2001,Texaco,1.6390,15.95,23226,,,9.700
5/17/2001,Texaco,1.6990,18.10,23621,,,10.600
5/26/2001,Texaco,1.6990,17.50,23911,,,10.300
6/2/2001,Texaco,1.6990,16.50,24201,,,9.700
6/10/2001,Amoco,1.5990,15.00,24512,,,9.400
6/27/2001,Texaco,1.6790,17.01,24790,,,10.100
7/14/2001,Texaco,1.5490,15.75,25040,,,10.200
7/23/2001,Amoco,1.5390,16.50,25341,,,10.700
7/27/2001,Exxon,1.3390,13.25,25691,,,9.900
8/7/2001,Amoco,1.4590,15.80,26045,,,10.800
